2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 90 - Undefined index: descripcion 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 104 - Undefined index: id_cat 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 85 - Undefined index: nombre 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 87 - Undefined index: estado 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 89 - Undefined index: descripcion 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 90 - Undefined index: descripcion 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 104 - Undefined index: id_cat 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 85 - Undefined index: nombre 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 87 - Undefined index: estado 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 89 - Undefined index: descripcion 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 90 - Undefined index: descripcion 
2015-03-03 10:40:50 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 104 - Undefined index: id_cat 
2015-03-03 10:55:43 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 85 - Undefined index: monto 
2015-03-03 10:55:43 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 87 - Undefined index: fk_grupo 
2015-03-03 10:55:43 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 89 - Undefined index: fk_cat 
2015-03-03 10:55:43 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 91 - Undefined index: timestamp 
2015-03-03 10:55:43 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 93 - Undefined index: fecha_gasto 
2015-03-03 10:55:46 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 85 - Undefined index: monto 
2015-03-03 10:55:46 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 87 - Undefined index: fk_grupo 
2015-03-03 10:55:46 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 89 - Undefined index: fk_cat 
2015-03-03 10:55:46 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 91 - Undefined index: timestamp 
2015-03-03 10:55:46 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 93 - Undefined index: fecha_gasto 
2015-03-03 11:55:56 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:55:56 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:55:56 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:55:56 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:56:06 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:56:06 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:56:06 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:56:06 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:56:21 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:56:21 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:56:21 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 11:56:21 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 194 - Undefined variable: montocats 
2015-03-03 16:12:33 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 168 - Undefined variable: mest 
2015-03-03 18:58:39 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:39 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:39 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:39 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:39 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:39 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:54 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:54 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:54 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:54 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:54 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:58:54 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:59:41 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:59:41 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:59:41 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:59:41 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:59:41 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 18:59:41 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
2015-03-03 19:00:02 // Error File: C:\xampp\htdocs\RdG\admin.php | Error Code: 8 | Error Line: 246 - Undefined index: id_cat 
